point_id,label,prefecture,elevation_m,slope_deg,local_relief_m,distance_to_volcano_km,distance_to_river_km,distance_to_lake_km,vegetation_naturalness,geology_group
p12-03-10381,1,岩手県,242.2,4.94,12.4,37.55,0.191,0.102,6.0,堆積岩
p12-03-10382,1,岩手県,295.5,2.73,13.4,37.81,0.487,0.342,,堆積岩
p12-03-10383,1,岩手県,254.5,2.78,21.4,41.75,0.145,1.75,7.0,堆積岩
p12-03-10384,1,岩手県,355.8,3.1,26.7,43.94,0.563,7.449,2.0,堆積岩
p12-03-10386,1,岩手県,289.2,4.64,28.5,35.89,0.048,5.845,7.0,堆積岩
p12-03-10389,1,岩手県,250.8,0.68,32.7,42.61,0.088,2.722,6.0,堆積岩
p12-03-10390,1,岩手県,289.7,2.51,16.8,39.95,0.103,10.147,6.0,堆積岩
p12-03-10394,1,岩手県,214.2,7.62,34.0,31.35,0.038,11.892,2.0,堆積岩
p12-03-10395,1,岩手県,175.9,1.37,12.1,31.35,1.054,12.497,4.0,堆積岩
p12-03-10396,1,岩手県,178.5,15.59,48.6,35.33,0.029,13.332,2.0,堆積岩
p12-03-10397,1,岩手県,70.4,0.54,4.4,35.43,0.306,17.553,2.0,堆積岩
p12-03-10413,1,岩手県,642.6,1.91,53.0,58.07,0.166,14.05,7.0,火成岩
p12-03-10460,1,岩手県,397.4,7.51,47.0,51.44,0.255,11.634,2.0,付加体
p12-03-10461,1,岩手県,397.4,7.51,47.0,51.44,0.255,11.634,2.0,付加体
p12-03-10466,1,岩手県,175.2,5.68,16.6,60.75,0.022,31.336,2.0,火成岩
p12-03-10467,1,岩手県,153.8,11.41,22.1,64.67,0.062,30.371,2.0,火成岩
p12-03-10470,1,岩手県,10.4,3.29,14.6,68.62,0.661,38.029,2.0,堆積岩
p12-03-10480,1,岩手県,638.1,4.59,36.0,30.07,0.223,26.031,2.0,火成岩
p12-04-10003,1,宮城県,173.3,4.64,50.7,2.18,0.28,1.5,2.0,堆積岩
p12-05-10015,1,秋田県,10.7,2.71,5.5,57.09,0.064,16.047,1.0,堆積岩
p12-05-10030,1,秋田県,201.5,3.67,38.5,49.31,0.602,17.737,1.0,堆積岩
p12-05-10058,1,秋田県,40.9,0.72,2.8,44.03,0.133,28.172,1.0,堆積岩
p12-05-10059,1,秋田県,123.1,3.08,53.0,41.31,0.18,26.744,6.0,火成岩
p12-05-10060,1,秋田県,20.2,0.57,36.3,48.54,0.023,41.839,2.0,堆積岩
p12-05-10061,1,秋田県,14.7,1.27,14.2,57.02,0.106,16.14,1.0,堆積岩
p12-05-10062,1,秋田県,75.0,10.69,25.8,46.22,0.033,25.432,6.0,堆積岩
p12-05-10101,1,秋田県,4.5,0.35,1.5,52.86,1.289,8.588,6.0,堆積岩
p12-05-10119,1,秋田県,40.9,1.55,23.6,50.19,0.546,13.757,6.0,堆積岩
p12-05-10126,1,秋田県,67.4,10.14,41.2,36.66,0.12,31.728,3.0,堆積岩
p12-05-10140,1,秋田県,104.7,6.41,45.7,44.77,0.169,17.524,2.0,堆積岩
p12-05-10141,1,秋田県,63.0,0.36,1.5,43.32,0.645,18.555,2.0,堆積岩
p12-05-10150,1,秋田県,82.2,2.25,30.1,42.25,1.114,20.288,1.0,堆積岩
p12-05-10166,1,秋田県,255.0,8.98,98.0,21.82,0.047,7.14,2.0,火成岩
p12-05-10167,1,秋田県,257.6,8.05,66.8,21.69,0.06,7.073,2.0,火成岩
p12-05-10173,1,秋田県,140.4,5.48,29.1,33.43,0.019,17.68,2.0,堆積岩
p12-05-10175,1,秋田県,109.2,0.95,63.2,32.49,0.004,15.797,7.0,堆積岩
p12-05-10181,1,秋田県,136.5,2.83,30.2,35.87,0.07,20.225,3.0,堆積岩
p12-05-10182,1,秋田県,64.6,0.23,1.6,41.97,0.711,25.138,1.0,堆積岩
p12-05-10208,1,秋田県,68.1,7.23,41.1,36.66,0.132,31.74,3.0,堆積岩
p12-05-10209,1,秋田県,71.5,11.77,42.2,36.94,0.101,31.784,2.0,堆積岩
p12-05-10218,1,秋田県,66.6,5.18,27.9,43.36,0.705,30.121,2.0,堆積岩
p12-05-10245,1,秋田県,128.4,1.53,18.9,38.49,0.033,13.96,2.0,堆積岩
p12-05-10246,1,秋田県,165.1,5.02,55.8,33.95,0.088,11.108,2.0,堆積岩
p12-05-10247,1,秋田県,352.8,13.79,123.2,28.01,0.02,11.936,7.0,火成岩
p12-05-10254,1,秋田県,42.1,0.19,1.7,45.06,0.167,26.147,2.0,堆積岩
p12-05-10269,1,秋田県,70.4,1.17,5.8,35.96,0.603,24.397,1.0,堆積岩
p12-05-10270,1,秋田県,73.2,1.65,6.8,29.3,0.136,17.143,1.0,堆積岩
p12-05-10276,1,秋田県,85.6,4.23,21.1,85.52,0.263,16.672,2.0,堆積岩
p12-05-10278,1,秋田県,14.8,3.84,11.2,71.4,1.139,10.84,,堆積岩
p12-05-10291,1,秋田県,405.2,4.63,45.9,21.4,0.068,11.621,7.0,火成岩
p12-05-10292,1,秋田県,323.3,14.73,49.5,11.89,0.043,3.151,7.0,堆積岩
p12-05-10293,1,秋田県,376.5,20.38,61.4,9.18,0.031,5.557,9.0,火成岩
p12-05-10294,1,秋田県,709.3,9.54,80.0,15.56,0.047,5.062,9.0,火成岩
p12-05-10295,1,秋田県,571.5,3.18,30.0,15.74,0.304,2.561,2.0,火成岩
p12-05-10296,1,秋田県,97.9,2.74,40.1,33.75,0.213,16.517,1.0,堆積岩
p12-05-10297,1,秋田県,315.8,31.35,129.3,32.06,0.017,18.972,7.0,火成岩
p12-05-10297#2,1,秋田県,149.6,0.58,2.7,30.9,0.594,15.066,2.0,堆積岩
p12-05-10298,1,秋田県,989.4,10.53,61.6,3.8,0.056,13.544,9.0,火成岩
p12-05-10299,1,秋田県,365.4,19.35,52.1,10.98,0.068,14.999,6.0,堆積岩
p12-05-10300,1,秋田県,221.4,10.73,112.5,18.36,0.045,18.376,6.0,火成岩
p12-05-10301,1,秋田県,169.3,2.55,41.9,19.44,0.212,13.588,2.0,堆積岩
p12-05-10325,1,秋田県,9.8,0.21,1.9,31.46,0.346,31.335,6.0,
p12-05-10326,1,秋田県,17.5,2.34,7.7,33.88,1.285,33.589,1.0,堆積岩
p12-05-10340,1,秋田県,353.1,8.97,58.4,10.63,0.146,12.556,8.0,火成岩
p12-05-10341,1,秋田県,482.7,3.72,32.4,10.09,0.17,11.746,2.0,火成岩
p12-05-10344,1,秋田県,111.6,0.62,5.5,30.35,0.068,32.117,2.0,堆積岩
p12-05-10357,1,秋田県,10.6,2.26,16.4,49.3,1.001,37.21,10.0,堆積岩
p12-05-10368,1,秋田県,19.0,0.35,36.6,25.81,1.137,25.564,1.0,堆積岩
p12-05-10370,1,秋田県,168.2,8.34,54.1,32.63,0.597,33.884,7.0,堆積岩
p12-05-10375,1,秋田県,9.4,0.34,0.9,64.81,0.141,3.378,6.0,堆積岩
p12-05-10394,1,秋田県,19.7,0.36,1.0,44.2,0.234,30.217,2.0,堆積岩
p12-05-10397,1,秋田県,14.2,1.73,4.4,49.61,0.255,34.628,7.0,堆積岩
p12-05-10400,1,秋田県,102.3,5.93,67.0,42.35,0.792,27.599,4.0,火成岩
p12-05-10405,1,秋田県,39.7,4.63,37.9,34.51,0.063,21.132,7.0,堆積岩
p12-05-10410,1,秋田県,140.8,1.08,24.4,36.4,0.029,21.2,6.0,堆積岩
p12-05-10411,1,秋田県,162.8,3.09,59.7,34.17,0.052,18.994,6.0,火成岩
p12-05-10418,1,秋田県,49.0,3.9,21.8,44.95,0.071,38.314,7.0,堆積岩
p12-05-10421,1,秋田県,33.2,3.12,11.1,39.16,0.261,26.905,2.0,堆積岩
p12-05-10425,1,秋田県,153.4,3.25,17.8,30.98,0.17,21.453,2.0,堆積岩
p12-05-10426,1,秋田県,59.8,0.23,2.5,34.28,0.593,22.702,2.0,堆積岩
p12-05-10437,1,秋田県,88.0,3.62,29.3,33.49,0.173,17.817,9.0,火成岩
p12-05-10444,1,秋田県,26.6,0.59,3.4,43.33,0.26,17.271,2.0,堆積岩
p12-05-10448,1,秋田県,65.9,1.11,17.3,30.85,0.21,16.1,2.0,火成岩
p12-05-10452,1,秋田県,283.9,6.93,23.0,19.42,0.042,10.137,2.0,堆積岩
p12-05-10468,1,秋田県,10.0,0.0,8.0,19.44,0.22,17.659,6.0,堆積岩
p12-05-10484,1,秋田県,185.8,2.75,12.0,12.89,0.078,11.241,2.0,火成岩
p12-05-10485,1,秋田県,5.1,0.87,11.0,18.6,0.624,16.562,4.0,火成岩
p12-05-10492,1,秋田県,744.1,7.6,98.1,2.81,0.015,9.156,9.0,火成岩
p12-05-10493,1,秋田県,762.6,14.76,79.5,4.72,0.019,10.598,6.0,火成岩
p12-05-10502,1,秋田県,91.8,0.57,2.6,22.78,0.06,8.059,2.0,堆積岩
p12-05-10507,1,秋田県,593.9,21.36,79.2,3.47,0.036,6.966,6.0,火成岩
p12-05-10508,1,秋田県,85.0,0.0,2.2,22.46,0.275,9.948,2.0,堆積岩
p12-05-10526,1,秋田県,404.7,0.08,2.7,4.16,0.073,0.19,,堆積岩
p12-05-10527,1,秋田県,407.3,1.75,13.7,5.76,0.262,0.086,2.0,堆積岩
p12-05-10532,1,秋田県,97.3,13.77,74.5,38.42,0.033,24.669,6.0,堆積岩
p12-05-10535,1,秋田県,96.5,3.68,37.7,38.63,0.109,5.048,2.0,堆積岩
p12-05-10546,1,秋田県,24.1,1.99,18.0,58.3,0.357,9.328,2.0,堆積岩
p12-05-10547,1,秋田県,20.3,1.1,6.9,58.59,0.456,9.088,2.0,堆積岩
p12-05-10551,1,秋田県,31.3,1.51,18.4,67.99,0.733,5.599,2.0,堆積岩
p12-05-10558,1,秋田県,24.5,3.93,30.0,40.16,1.305,17.314,,堆積岩
p12-05-10562,1,秋田県,4.2,2.15,23.8,40.25,1.632,17.599,4.0,堆積岩
p12-05-10585,1,秋田県,20.9,0.57,19.1,56.79,0.84,3.433,2.0,堆積岩
p12-05-10588,1,秋田県,50.8,1.19,9.1,54.71,0.333,5.867,2.0,堆積岩
p12-05-10593,1,秋田県,3.3,1.23,4.3,68.72,1.096,9.458,10.0,堆積岩
p12-05-10596,1,秋田県,180.6,1.58,28.4,39.57,0.226,18.786,6.0,火成岩
p12-05-10600,1,秋田県,151.4,3.28,26.6,42.24,0.16,17.574,6.0,堆積岩
p12-05-10606,1,秋田県,60.5,0.8,14.6,49.15,0.228,20.532,2.0,堆積岩
p12-05-10616,1,秋田県,92.2,10.86,25.3,32.68,0.887,26.923,2.0,堆積岩
p12-06-10008,1,山形県,238.9,9.99,58.0,24.97,0.015,7.736,7.0,火成岩
p12-06-10001,1,山形県,865.7,12.12,33.9,4.65,0.036,0.242,6.0,火成岩
p12-08-10056,1,茨城県,52.4,3.57,22.3,81.92,0.246,16.175,6.0,堆積岩
p12-08-10070,1,茨城県,26.5,1.89,17.0,114.95,0.659,9.993,6.0,堆積岩
p12-08-10076,1,茨城県,25.2,0.57,2.2,75.0,0.554,18.151,2.0,堆積岩
p12-08-10096,1,茨城県,251.1,4.15,34.3,63.51,0.314,6.798,2.0,火成岩
p12-08-10112,1,茨城県,49.4,3.14,14.2,78.09,0.357,22.78,1.0,堆積岩
p12-08-10181,1,茨城県,135.1,4.82,62.9,62.87,0.016,3.203,6.0,堆積岩
p12-08-10182,1,茨城県,67.5,5.52,42.5,58.4,0.18,15.4,6.0,堆積岩
p12-08-10183,1,茨城県,96.4,1.23,19.0,58.35,0.078,12.607,6.0,堆積岩
p12-08-10258,1,茨城県,3.2,0.75,3.6,96.41,1.013,3.461,2.0,堆積岩
p12-08-10266,1,茨城県,63.2,3.26,20.0,73.24,0.149,6.496,6.0,付加体
p12-08-10277,1,茨城県,160.6,38.17,70.1,50.28,0.743,15.152,7.0,堆積岩
p12-08-10278,1,茨城県,107.8,5.98,79.2,53.02,0.131,12.363,6.0,堆積岩
p12-08-10279,1,茨城県,182.6,2.23,27.4,50.35,0.652,15.052,7.0,堆積岩
p12-08-10292,1,茨城県,25.0,0.0,0.1,73.08,1.949,16.892,2.0,堆積岩
p12-09-10010,1,栃木県,838.6,19.94,66.5,4.5,0.011,7.147,7.0,火成岩
p12-10-10006,1,群馬県,195.9,3.28,17.2,16.06,0.644,16.52,2.0,火成岩
p12-10-10007,1,群馬県,240.9,1.54,14.6,14.13,0.112,18.49,2.0,堆積岩
p12-10-10009,1,群馬県,842.7,27.73,108.3,6.05,0.048,14.569,7.0,火成岩
p12-10-10024,1,群馬県,338.0,4.1,20.5,13.4,0.091,15.56,6.0,堆積岩
p12-10-10045,1,群馬県,485.4,7.57,62.8,9.33,0.138,9.461,6.0,火成岩
p12-10-10046,1,群馬県,600.1,16.25,72.9,8.67,0.059,9.469,6.0,火成岩
p12-10-10047,1,群馬県,454.9,6.79,44.9,8.92,0.054,9.238,2.0,火成岩
p12-10-10048,1,群馬県,847.4,6.85,85.8,15.08,0.102,7.677,7.0,火成岩
p12-10-10060,1,群馬県,213.4,2.18,12.6,14.29,0.347,4.604,3.0,火成岩
p12-10-10075,1,群馬県,136.6,3.77,54.5,24.22,0.017,10.337,7.0,堆積岩
p12-10-10076,1,群馬県,191.9,5.22,53.5,29.7,0.127,4.943,7.0,堆積岩
p12-10-10090,1,群馬県,75.2,0.07,3.7,25.79,0.253,12.004,2.0,堆積岩
p12-10-10130,1,群馬県,486.0,12.0,80.5,7.75,0.056,13.602,6.0,火成岩
p12-10-10131,1,群馬県,258.2,3.5,53.9,10.09,0.115,9.496,2.0,付加体
p12-10-10180,1,群馬県,106.5,5.33,39.9,24.52,1.087,14.032,2.0,火成岩
p12-10-10201,1,群馬県,530.0,0.01,62.6,13.05,0.374,5.232,3.0,堆積岩
p12-10-10202,1,群馬県,653.6,5.57,47.3,13.64,0.049,4.794,2.0,火成岩
p12-10-10206,1,群馬県,625.9,4.4,40.5,12.46,0.206,1.679,2.0,堆積岩
p12-10-10208,1,群馬県,512.6,4.13,55.0,8.15,0.053,0.831,6.0,堆積岩
p12-10-10242,1,群馬県,708.5,8.85,63.4,6.6,0.08,4.625,7.0,火成岩
p12-10-10250,1,群馬県,157.8,0.6,2.8,15.32,0.055,10.856,2.0,堆積岩
p12-10-10256,1,群馬県,185.0,1.68,8.7,14.07,0.422,12.045,1.0,堆積岩
p12-10-10258,1,群馬県,278.1,4.01,18.1,9.85,0.069,8.589,3.0,堆積岩
p12-10-10259,1,群馬県,282.0,1.35,23.8,9.99,0.193,8.72,3.0,堆積岩
p12-10-10263,1,群馬県,217.7,3.84,17.2,15.31,0.407,13.306,2.0,堆積岩
p12-10-10265,1,群馬県,210.3,0.75,12.7,14.68,0.044,15.375,10.0,堆積岩
p12-10-10270,1,群馬県,201.4,4.01,56.9,17.13,0.235,11.31,2.0,火成岩
p12-10-10274,1,群馬県,206.0,2.08,40.7,17.09,0.233,11.339,2.0,火成岩
p12-10-10276,1,群馬県,177.5,0.95,6.2,14.59,0.346,12.591,1.0,堆積岩
p12-10-10278,1,群馬県,210.3,0.75,12.7,14.68,0.044,15.375,10.0,堆積岩
p12-10-10282,1,群馬県,81.5,0.5,2.9,31.47,0.88,5.921,2.0,堆積岩
p12-10-10290,1,群馬県,143.5,24.92,34.9,38.27,0.087,4.227,7.0,堆積岩
p12-10-10307,1,群馬県,190.9,0.91,45.4,26.35,0.077,12.062,2.0,堆積岩
p12-10-10314,1,群馬県,210.1,0.54,17.1,19.58,0.128,9.47,1.0,堆積岩
p12-10-10315,1,群馬県,205.4,4.71,19.8,19.54,0.133,9.564,3.0,堆積岩
p12-10-10316,1,群馬県,445.6,12.82,62.1,21.55,0.058,0.428,6.0,火成岩
p12-10-10317,1,群馬県,480.0,7.2,37.1,18.1,0.169,0.944,6.0,堆積岩
p12-10-10318,1,群馬県,1039.6,9.52,88.7,13.02,0.029,6.521,7.0,火成岩
p12-10-10329,1,群馬県,140.5,0.47,13.3,19.66,2.217,13.686,2.0,堆積岩
p12-10-10338,1,群馬県,487.8,9.72,59.1,17.14,0.134,0.091,,火成岩
p12-10-10355,1,群馬県,334.9,4.73,23.1,11.33,0.09,5.407,3.0,火成岩
p12-10-10362,1,群馬県,136.1,1.56,8.3,16.92,0.267,9.396,3.0,堆積岩
p12-10-10364,1,群馬県,760.5,17.87,112.6,36.34,0.063,18.005,6.0,付加体
p12-10-10365,1,群馬県,482.3,2.92,33.7,42.8,0.084,17.222,2.0,堆積岩
p12-10-10367,1,群馬県,511.0,3.26,76.8,41.1,0.048,18.435,6.0,堆積岩
p12-10-10369,1,群馬県,511.0,3.26,76.8,41.1,0.048,18.435,6.0,堆積岩
p12-10-10376,1,群馬県,928.3,6.54,69.9,37.47,0.136,7.335,6.0,付加体
p12-10-10384,1,群馬県,460.1,10.21,62.6,22.73,0.054,10.459,6.0,火成岩
